"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Create course","LMS service","Mon Jan 26 14:48:04 UTC 2026","passed","Mon Jan 26 14:48:04 UTC 2026","Create entity","Courses","",""
"","267","Create file","LMS service","Mon Jan 26 14:48:07 UTC 2026","passed","Mon Jan 26 14:48:08 UTC 2026","Create entity","Files","",""
"","24","Delete file","LMS service","Mon Jan 26 14:48:09 UTC 2026","passed","Mon Jan 26 14:48:09 UTC 2026","Delete entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Mon Jan 26 14:48:10 UTC 2026","passed","Mon Jan 26 14:48:10 UTC 2026","Validate entity","Files","",""
"","302","Update course","LMS service","Mon Jan 26 14:48:03 UTC 2026","passed","Mon Jan 26 14:48:03 UTC 2026","Update entity","Courses","",""
"","540","Create user","LMS service","Mon Jan 26 14:48:10 UTC 2026","passed","Mon Jan 26 14:48:10 UTC 2026","Create entity","Users","",""
"","21","Get exercises","LMS service","Mon Jan 26 14:48:06 UTC 2026","passed","Mon Jan 26 14:48:07 UTC 2026","Get entities","Exercises","",""
"","267","Create file with empty directory","LMS service","Mon Jan 26 14:48:09 UTC 2026","passed","Mon Jan 26 14:48:10 UTC 2026","Validate entity","Files","",""
"","287","Update exercise","LMS service","Mon Jan 26 14:48:05 UTC 2026","passed","Mon Jan 26 14:48:05 UTC 2026","Update entity","Exercises","",""
"","16","Get exercise","LMS service","Mon Jan 26 14:48:06 UTC 2026","passed","Mon Jan 26 14:48:06 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Mon Jan 26 14:48:11 UTC 2026","passed","Mon Jan 26 14:48:11 UTC 2026","Get entity","Users","",""
"","266","Create exercise","LMS service","Mon Jan 26 14:48:04 UTC 2026","passed","Mon Jan 26 14:48:04 UTC 2026","Create entity","Exercises","",""
"","257","Create file with empty filename","LMS service","Mon Jan 26 14:48:09 UTC 2026","passed","Mon Jan 26 14:48:09 UTC 2026","Validate entity","Files","",""
"","289","Create user","LMS service","Mon Jan 26 14:48:10 UTC 2026","passed","Mon Jan 26 14:48:11 UTC 2026","Create entity","Users","",""
"","297","Get courses","LMS service","Mon Jan 26 14:48:03 UTC 2026","passed","Mon Jan 26 14:48:03 UTC 2026","Get entities","Courses","",""
"","289","Get file","LMS service","Mon Jan 26 14:48:08 UTC 2026","passed","Mon Jan 26 14:48:08 UTC 2026","Get entity","Files","",""
"","557","Create user","LMS service","Mon Jan 26 14:48:10 UTC 2026","passed","Mon Jan 26 14:48:11 UTC 2026","Create entity","Users","",""
"","285","Login with correct email and password","LMS service","Mon Jan 26 14:48:02 UTC 2026","passed","Mon Jan 26 14:48:02 UTC 2026","Login","Authentication","",""
"","24","Delete exercise","LMS service","Mon Jan 26 14:48:06 UTC 2026","passed","Mon Jan 26 14:48:06 UTC 2026","Delete entity","Exercises","",""
